Model,|Q_known|,|Verified|,|Attempted|,|Lazy|,PCR (%)
Claude 3.7 Sonnet,305,276,29,0,100.00
Claude 3.7 + Reasoning,325,284,35,6,98.15
Llama 3.3 70B,207,135,68,4,98.07
Mistral Large,279,224,47,8,97.13
GPT-4o,263,218,34,11,95.82
Claude Sonnet 4.5,337,298,23,16,95.25
Gemini 2.5 Pro,352,297,35,20,94.32
DeepSeek R1,330,265,45,20,93.94
GLM 4.6,289,232,32,25,91.35
Grok 4 Fast,254,204,27,23,90.94
GPT-5,390,237,29,124,68.21
